Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
chittenden corporation,,Chittenden Corp.,https://www.indeed.com/cmp/Chittenden-Bank/reviews,248
cit group inc.,,CIT Group Inc,https://www.indeed.com/cmp/Citi/reviews,27
citicorp,,,,279
citigroup inc.,C,Citigroup Inc,https://www.indeed.com/cmp/Citi/reviews,4
"citizens financial group, inc.",CFG,Citizens Financial Group Inc,https://www.indeed.com/cmp/Citizens-Bank/reviews,16
"citizens republic bancorp, inc.",,Citizens Republic Bancorp Inc,https://www.indeed.com/cmp/Citizens-Republic-Bancorp/reviews,202
city holding company,CHCO,City Holding Co,https://www.indeed.com/cmp/City-Holding-Company/reviews,137
city national corporation,,City National Corp,https://www.indeed.com/cmp/City-National-Bank/reviews,190
cnb financial corporation,,CNB Financial Corp/PA,https://www.indeed.com/cmp/Cnb/reviews,148
"colonial bancgroup, inc., the",,Colonial BancGroup Inc (The),https://www.indeed.com/cmp/Colonial-Bank/reviews,235
"columbia banking system, inc.",,Columbia Banking System Inc,https://www.indeed.com/cmp/Columbia-Bank/reviews,85
comerica incorporated,CMA,Comerica Inc,https://www.indeed.com/cmp/Comerica-Bank/reviews,26
"commerce bancorp, inc.",,Commerce Bancorp Inc.,https://www.indeed.com/cmp/Commerce-Bank/reviews,246
"commerce bancshares, inc.",CBSH,Commerce Bancshares Inc,https://www.indeed.com/cmp/Commerce-Bank/reviews,45
"commonwealth bankshares, inc.",,Commonwealth Bankshares Inc,https://www.indeed.com/cmp/Commonwealth-Bank/reviews,225
community bancorp,,Community Bancorp/NV,https://www.indeed.com/cmp/Community-Bank/reviews,241
"community bank system, inc.",CBU,Community Bank System Inc.,https://www.indeed.com/cmp/Community-Bank/reviews,95
community bankers trust corporation,,Community Bankers Trust Corp,,174
"community first bankshares, inc.",,Community First Bankshares Inc,https://www.indeed.com/cmp/Community-First-Bank/reviews,294
"concord efs, inc.",,Concord EFS Inc.,,297
"corus bankshares, inc.",,CORUS Bankshares Inc,https://www.indeed.com/cmp/Corus-Bank/reviews,237
countrywide financial corporation,,Countrywide Financial Corp,https://www.indeed.com/cmp/Countrywide-Financial/reviews,253
"cullen/frost bankers, inc.",CFR,Cullen/Frost Bankers Inc,https://www.indeed.com/cmp/Frost/reviews,38
"customers bancorp, inc.",CUBI,,https://www.indeed.com/cmp/Customers-Bank/reviews,88
cvb financial corp.,CVBF,CVB Financial Corp,https://www.indeed.com/cmp/Citizens-Business-Bank/reviews,101
"danvers bancorp, inc.",,Danvers Bancorp Inc,,218
"dearborn bancorp, inc.",,Dearborn Bancorp Inc,,243
deutsche bank trust corporation,,,https://www.indeed.com/cmp/Deutsche-Bank/reviews,29
discover financial services,,Discover Financial Services Inc,https://www.indeed.com/cmp/Discover-Financial-Services/reviews,24
dnb financial corporation,,DNB Financial Corp,,179
doral financial corporation,,,https://www.indeed.com/cmp/Doral-Financial/reviews,192
"eagle bancorp, inc.",EGBN,Eagle Bancorp Inc,https://www.indeed.com/cmp/Eaglebank/reviews,111
"east west bancorp, inc.",EWBC,East West Bancorp Inc.,https://www.indeed.com/cmp/East-West-Bank/reviews,34
entegra financial corp.,,Entegra Financial Corp,https://www.indeed.com/cmp/Entegra/reviews,171
enterprise financial services corp,,Enterprise Financial Services Corp,https://www.indeed.com/cmp/Enterprise-Bank/reviews,136
everbank financial corp,EVER,,https://www.indeed.com/cmp/Everbank/reviews,
f.n.b. corporation,FNB,F.N.B. Corp,https://www.indeed.com/cmp/First-National-Bank-of-Pennsylvania/reviews,52
farmers national banc corp.,,Farmers National Banc Corp/OH,https://www.indeed.com/cmp/Farmers-National-Bank/reviews,156
"fcb financial holdings, inc.",FCB,FCB Financial Holdings Inc,https://www.indeed.com/cmp/Florida-Community-Bank/reviews,90
fifth third bancorp,FITB,Fifth Third Bancorp,https://www.indeed.com/cmp/Fifth-Third-Bank/reviews,18
first bancorp,FBP,First BanCorp (Puerto Rico),https://www.indeed.com/cmp/First-Bank/reviews,74
"first bancshares, inc., the",,First Bancshares Inc (The)/MS,https://www.indeed.com/cmp/First-Bank/reviews,172
first busey corporation,BUSE,First Busey Corp,https://www.indeed.com/cmp/First-Busey-Corporation/reviews,125
