Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
tower bancorp inc.,,Tower Bancorp Inc,,210
townebank,TOWN,,https://www.indeed.com/cmp/Townebank/reviews,
trico bancshares,,TriCo Bancshares,,132
"tristate capital holdings, inc",,TriState Capital Holdings Inc,https://www.indeed.com/cmp/Tristate-Capital-Bank/reviews,138
troy financial corporation,,Troy Financial Corp,https://www.indeed.com/cmp/Troy-Bank-and-Trust-Company/reviews,298
trustmark corporation,TRMK,Trustmark Corp,https://www.indeed.com/cmp/Trustmark-National-Bank/reviews,72
u.s. bancorp,USB,U.S. Bancorp,https://www.indeed.com/cmp/U.S.-Bancorp/reviews; https://www.indeed.com/cmp/US-Bancorp/reviews; https://www.indeed.com/cmp/U.S.-Bank/reviews,7
u.s. trust corporation,,,https://www.indeed.com/cmp/U.S.-Trust-Company/reviews,269
"u.s.b. holding co., inc.",,U.S.B. Holding Co. Inc.,,251
"ucbh holdings, inc.",,UCBH Holdings Inc,,236
umb financial corporation,UMBF,UMB Financial Corp,https://www.indeed.com/cmp/Umb-Financial-Corporation/reviews,56
umpqua holdings corporation,UMPQ,Umpqua Holdings Corp,https://www.indeed.com/cmp/Umpqua-Bank/reviews,46
union bankshares corporation,UBSH,Union Bankshares Corp,https://www.indeed.com/cmp/Union-Bank-&-Trust/reviews,96
union planters corporation,,Union Planters Corp,https://www.indeed.com/cmp/Union-Planters-Bank/reviews,289
"united bankshares, inc.",UBSI,United Bankshares Inc,https://www.indeed.com/cmp/United-Bank/reviews,69
"united community banks, inc.",UCBI,United Community Banks Inc,https://www.indeed.com/cmp/United-Community-Bank/reviews,80
"united financial bancorp, inc.",,United Financial Bancorp Inc,"https://www.indeed.com/cmp/United-Financial-Group,-Inc.-1/reviews",114
univest corporation of pennsylvania,,Univest Corp of Pennsylvania,https://www.indeed.com/cmp/Univest-Corporation-of-Pennsylvania/reviews,134
unizan financial corp.,,,,275
valley national bancorp,VLY,Valley National Bancorp,https://www.indeed.com/cmp/Valley-National-Bank/reviews; https://www.indeed.com/cmp/First-National-Bank/reviews,49
vib corp,,VIB Corp,,274
"virginia commerce bancorp, inc.",,Virginia Commerce Bancorp,,199
"w holding company, inc.",,W Holding Co Inc.,,229
wachovia corporation,,Wachovia Corp,https://www.indeed.com/cmp/Wachovia-Corporation/reviews,244
"washington federal, inc.",,Washington Federal Inc.,https://www.indeed.com/cmp/Washington-Federal/reviews,65
"washington trust bancorp, inc.",WASH,Washington Trust Bancorp Inc,https://www.indeed.com/cmp/Washington-Trust-Bank/reviews,133
"washingtonfirst bankshares, inc.",,WashingtonFirst Bankshares Inc,https://www.indeed.com/cmp/Washingtonfirst-Bank/reviews,155
webster financial corporation,WBS,Webster Financial Corp,https://www.indeed.com/cmp/Webster-Bank/reviews,43
wells fargo & company,WFC,Wells Fargo & Co,https://www.indeed.com/cmp/Wells-Fargo/reviews,3
"wesbanco, inc.",WSBC,WesBanco Inc,"https://www.indeed.com/cmp/Wesbanco-Bank,-Inc./reviews",83
westamerica bancorporation,WABC,Westamerica Bancorporation,https://www.indeed.com/cmp/Westamerica-Bank/reviews,127
western alliance bancorporation,WAL,Western Alliance Bancorporation,https://www.indeed.com/cmp/Western-Alliance-Bank/reviews,63
western sierra bancorp,,Western Sierra Bancorp,,277
whitney holding corporation,,Whitney Holding Corp.,https://www.indeed.com/cmp/Whitney-Bank/reviews,214
wilmington trust corporation,,Wilmington Trust Corp,https://www.indeed.com/cmp/Wilmington-Trust/reviews,215
wintrust financial corporation,WTFC,Wintrust Financial Corp.,https://www.indeed.com/cmp/Wintrust-Financial/reviews; https://www.indeed.com/cmp/Wintrust-Financial-Corporation,44
wsfs financial corporation,WSFS,,https://www.indeed.com/cmp/Wsfs-Bank/reviews,
yadkin financial corporation,YDKN,Yadkin Financial Corp,https://www.indeed.com/cmp/Yadkin-Bank,106
yardville national bancorp,,Yardville National Bancorp,,262
zions bancorporation,ZION,Zions Bancorporation,https://www.indeed.com/cmp/Zions-Bancorporation/reviews,28
